'human_name';'number_of_rescued_people';'steps_taken_human';'steps_taken_robot';'rescue_time';'competence';'willingness'
qwe;1;67;12;198;0.5;0.5

charlie;1;3;10;382;-1.0;-1.0
charlie;2;3;10;383;-1.0;-1.0
charlie;1;160;58;2009;-1.0;-1.0
charlie;1;70;36;2278;-1.0;-0.9
charlie;2;140;59;3355;-1.0;-0.9
charlie;3;180;105;8943;-1.0;-1.0
charlie;4;230;120;9910;-1.0;-1.0
charlie;5;280;135;11459;-1.0;-1.0
charlie;6;320;152;13377;-1.0;-1.0
charlie;7;400;252;17183;-1.0;-1.0
charlie;8;460;286;18200;-1.0;-1.0
charlie;1;0;18;1493;0.9;0.9
charlie;2;30;31;2512;0.9;0.9
charlie;3;73;40;3390;1.0;1.0
charlie;4;70;49;3451;1.0;1.0
charlie;5;70;72;4516;1.0;1.0
charlie;6;120;90;5491;1.0;1.0
charlie;7;200;105;6777;1.0;1.0
charlie;8;230;154;7950;1.0;1.0
charlie;9;290;196;8974;1.0;1.0
